address,coin,fill_count,signed_delta,turnover,is_frozen
0x010461c14e146ac35fe42271bdc1134ee31c703a,PUMP,79,-2117564.0,14923.224015,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,VVV,527,-235.08,111769.37744,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BSV,65,-68.04,2764.6687,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,LINEA,115,1515760.0,18190.933621,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,FOGO,59,279103.0,8170.50018,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SAND,37,5173.0,1906.706088,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZEC,735,-36.22,225976.9464,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,WLFI,60,36540.0,5711.785236,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,HYPER,82,-4685.0,3361.84011,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,KAITO,133,6656.0,18602.14208,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZETA,52,-35172.6,3303.372257,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MEME,13,3616794.0,1948.331182,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BIGTIME,128,143876.0,4415.865393,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MON,261,-174411.0,41144.729616,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,RSR,22,2305917.0,4208.699654,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AR,157,-2391.76,20852.590312,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,REZ,109,388988.0,3958.371824,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,GMT,59,-16265.0,3924.25462,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SKY,66,-6166.0,7656.975033,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ALGO,113,80374.0,14090.9923,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,kBONK,92,-76001.0,11326.20589,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MANTA,47,24043.3,5547.710724,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,0G,30,-1641.0,1540.24753,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,GRASS,431,35949.1,79962.155837,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AVNT,96,-22622.0,9374.72589,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SAGA,78,-8259.1,3457.804814,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MOVE,89,-37053.0,3174.588988,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SKR,112,-1554024.0,23586.551101,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,WCT,72,-26109.0,3706.135836,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MINA,69,-2809.0,4623.076926,False
