timestamp,open,high,low,close,volume
1778573040.0,95.72,95.75,95.7,95.71,363.8902465
1778573100.0,95.7,95.85,95.62,95.83,2645.48190322
1778573160.0,95.81,95.81,95.72,95.72,175.44241729
1778573220.0,95.73,95.78,95.72,95.76,12.75720593
1778573280.0,95.76,95.76,95.74,95.74,15.57866302
1778573340.0,95.71,95.75,95.71,95.74,17.02428932
1778573400.0,95.74,95.75,95.68,95.68,75.96653489
1778573460.0,95.67,95.71,95.66,95.71,42.35411999
1778573520.0,95.68,95.7,95.62,95.7,3.59087093
1778573580.0,95.64,95.66,95.59,95.59,2.20581856
1778573640.0,95.58,95.59,95.56,95.59,10.04640766
1778573700.0,95.57,95.57,95.38,95.51,966.4047602
1778573760.0,95.5,95.5,95.45,95.48,9.22158653
1778573820.0,95.54,95.55,95.52,95.54,9.4433183
1778573880.0,95.53,95.6,95.51,95.6,91.1015231
1778573940.0,95.57,95.57,95.53,95.54,1.57820208
1778574000.0,95.54,95.62,95.54,95.62,5.0768008
1778574060.0,95.66,95.69,95.63,95.63,85.99493634
1778574120.0,95.66,95.73,95.66,95.73,8.03682683
1778574180.0,95.72,95.8,95.72,95.79,47.57633173
1778574240.0,95.8,95.84,95.7,95.7,131.290594
1778574300.0,95.67,95.67,95.58,95.58,10.64755487
1778574360.0,95.56,95.65,95.56,95.62,50.2338996
1778574420.0,95.6,95.64,95.6,95.64,47.96590142
1778574480.0,95.64,95.66,95.56,95.66,2.63361327
1778574540.0,95.63,95.63,95.61,95.62,2.70215795
1778574600.0,95.61,95.64,95.61,95.63,10.67120912
1778574660.0,95.61,95.65,95.61,95.64,0.49161826
1778574720.0,95.66,95.66,95.62,95.63,5.53822304
1778574780.0,95.64,95.7,95.64,95.68,55.09022382
1778574840.0,95.67,95.71,95.63,95.71,0.8852386
1778574900.0,95.72,95.74,95.71,95.74,0.38255098
1778574960.0,95.77,95.79,95.74,95.76,177.48226704
1778575020.0,95.74,95.77,95.74,95.76,1.87957343
1778575080.0,95.76,95.77,95.75,95.75,0.69657059
1778575140.0,95.73,95.76,95.73,95.75,23.29723982
1778575200.0,95.73,95.73,95.72,95.72,501.62831373
1778575260.0,95.72,95.72,95.58,95.59,32.00372599
1778575320.0,95.58,95.58,95.57,95.57,5.56402173
1778575380.0,95.55,95.6,95.55,95.58,2.26209186
1778575440.0,95.63,95.78,95.6,95.76,1340.78060935
1778575500.0,95.84,95.85,95.82,95.84,1.21237728
1778575560.0,95.84,95.84,95.8,95.8,105.95860472
1778575620.0,95.79,95.79,95.73,95.73,10.51878317
1778575680.0,95.76,95.79,95.76,95.78,1.38381017
1778575740.0,95.73,95.74,95.73,95.74,0.1294996
1778575800.0,95.74,95.76,95.73,95.75,5.80554323
1778575860.0,95.76,95.81,95.76,95.8,38.33662433
1778575920.0,95.79,95.81,95.78,95.78,4.8259193
1778575980.0,95.77,95.77,95.54,95.55,1409.6009864
1778576040.0,95.54,95.63,95.54,95.61,8.66674002
1778576100.0,95.59,95.63,95.59,95.59,3.79223231
1778576160.0,95.58,95.59,95.55,95.56,210.99012258
1778576220.0,95.58,95.63,95.58,95.63,4.80333685
1778576280.0,95.65,95.66,95.64,95.65,78.41232614
1778576340.0,95.66,95.66,95.65,95.65,7.2541345
1778576400.0,95.58,95.62,95.57,95.57,9.74288251
1778576460.0,95.53,95.58,95.53,95.55,51.89025162
1778576520.0,95.56,95.66,95.56,95.66,14.20941849
1778576580.0,95.65,95.68,95.62,95.65,1109.96842477
1778576640.0,95.64,95.66,95.64,95.65,7.4965233
1778576700.0,95.68,95.68,95.56,95.57,17.5623419
1778576760.0,95.58,95.58,95.5,95.51,9.44136635
1778576820.0,95.5,95.5,95.44,95.5,393.15688656
1778576880.0,95.49,95.52,95.45,95.52,40.3008245
1778576940.0,95.5,95.6,95.49,95.59,112.57553496
1778577000.0,95.61,95.61,95.52,95.54,86.81254263
1778577060.0,95.54,95.56,95.49,95.49,1.666824
1778577120.0,95.5,95.5,95.43,95.43,509.18225073
1778577180.0,95.42,95.46,95.33,95.42,178.26813907
1778577240.0,95.38,95.4,95.34,95.36,113.4551216
1778577300.0,95.36,95.4,95.36,95.4,43.96184942
1778577360.0,95.4,95.4,95.36,95.36,21.04259778
1778577420.0,95.36,95.39,95.31,95.39,596.26819935
1778577480.0,95.4,95.44,95.39,95.44,1155.99188751
1778577540.0,95.43,95.46,95.43,95.43,0.29165236
1778577600.0,95.45,95.48,95.45,95.47,11.31251284
1778577660.0,95.48,95.5,95.47,95.49,63.38456847
1778577720.0,95.47,95.49,95.47,95.48,0.350293
1778577780.0,95.48,95.49,95.46,95.46,125.6616667
1778577840.0,95.46,95.52,95.45,95.52,113.57510258
1778577900.0,95.52,95.56,95.52,95.54,6.16506564
1778577960.0,95.54,95.54,95.47,95.5,3.44415785
1778578020.0,95.5,95.5,95.47,95.48,51.23185895
1778578080.0,95.49,95.5,95.45,95.45,8.32149553
1778578140.0,95.45,95.46,95.45,95.46,3.28452
1778578200.0,95.46,95.64,95.46,95.64,90.31614067
1778578260.0,95.68,95.71,95.63,95.64,72.06667759
1778578320.0,95.64,95.73,95.63,95.73,199.35962701
1778578380.0,95.72,95.81,95.7,95.81,19.96503255
1778578440.0,95.82,95.86,95.82,95.86,2.01779653
1778578500.0,95.86,95.89,95.84,95.89,839.85529568
1778578560.0,95.86,95.88,95.84,95.88,6.07449719
1778578620.0,95.89,95.89,95.87,95.87,32.23335334
1778578680.0,95.87,95.88,95.87,95.88,4.57856951
1778578740.0,95.88,95.89,95.88,95.89,22.56775114
1778578800.0,95.89,96.06,95.89,95.99,10759.33257748
1778578860.0,96.02,96.02,95.99,96.0,128.60145331
1778578920.0,96.01,96.01,95.99,95.99,216.74389584
1778578980.0,95.94,96.0,95.92,95.94,1020.42191451
1778579040.0,95.94,95.96,95.92,95.96,5.26400969
1778579100.0,96.0,96.01,95.98,95.98,100.25337766
1778579160.0,95.94,95.94,95.87,95.87,86.75424789
1778579220.0,95.85,95.85,95.82,95.83,6.26308947
1778579280.0,95.81,95.83,95.81,95.81,2.03254241
1778579340.0,95.82,95.84,95.8,95.83,14.52401835
1778579400.0,95.84,95.84,95.78,95.79,1.25305073
1778579460.0,95.78,95.81,95.78,95.8,2.2679
1778579520.0,95.79,95.81,95.79,95.81,7.9268628
1778579580.0,95.8,95.81,95.79,95.8,3.18525382
1778579640.0,95.79,95.79,95.72,95.74,106.15956128
1778579700.0,95.73,95.74,95.69,95.74,4.02030741
1778579760.0,95.74,95.77,95.73,95.74,3.55601522
1778579820.0,95.74,95.74,95.71,95.73,22.05017004
1778579880.0,95.73,95.76,95.73,95.74,7.50536131
1778579940.0,95.75,95.75,95.63,95.75,3621.84670659
1778580000.0,95.75,95.76,95.72,95.76,51.06291189
1778580060.0,95.77,95.77,95.75,95.77,105.09120067
1778580120.0,95.75,95.81,95.75,95.8,56.47024496
1778580180.0,95.8,95.8,95.75,95.75,23.61998906
1778580240.0,95.76,95.76,95.73,95.73,1.7359624
1778580300.0,95.73,95.76,95.73,95.75,191.01471417
1778580360.0,95.76,95.81,95.76,95.77,74.05484327
1778580420.0,95.81,95.84,95.81,95.82,83.57035528
1778580480.0,95.81,95.84,95.81,95.84,0.67347
1778580540.0,95.83,95.84,95.83,95.83,23.22155282
1778580600.0,95.84,95.88,95.84,95.88,20.31356684
1778580660.0,95.87,95.91,95.87,95.88,334.72172577
1778580720.0,95.88,95.92,95.87,95.92,0.2839257
1778580780.0,95.92,95.92,95.87,95.89,19.17867599
1778580840.0,95.87,95.92,95.65,95.65,822.14422209
1778580900.0,95.66,95.66,95.51,95.56,964.6645519
1778580960.0,95.55,95.55,95.5,95.52,211.48203212
1778581020.0,95.52,95.52,95.49,95.5,0.82241921
1778581080.0,95.49,95.52,95.49,95.52,3.48843365
1778581140.0,95.53,95.54,95.51,95.54,27.78590296
1778581200.0,95.52,95.55,95.52,95.53,3.93676199
1778581260.0,95.53,95.53,95.5,95.51,110.33365998
1778581320.0,95.5,95.5,95.36,95.36,133.3918284
1778581380.0,95.36,95.36,95.18,95.27,1903.69865096
1778581440.0,95.28,95.36,95.28,95.36,3.55064068
1778581500.0,95.36,95.39,95.28,95.32,259.89863981
1778581560.0,95.32,95.32,95.28,95.28,7.43201707
