trade_num,side,entry_price,exit_price,realized_pnl,commissions
120,FLAT,64917.31999999999,65980.0,19.98 USD,['19.41 USD']
121,FLAT,67324.84,66783.15,-38.63 USD,['19.22 USD']
122,FLAT,66626.61,67273.40000000001,4.01 USD,['19.30 USD']
123,FLAT,67608.0,67367.8,-27.71 USD,['19.18 USD']
124,FLAT,68306.0,67617.6,-43.17 USD,['19.05 USD']
125,FLAT,68379.54,68246.19,-23.66 USD,['19.02 USD']
126,FLAT,68475.18000000001,68336.97,-23.76 USD,['18.97 USD']
127,FLAT,68344.76000000001,68258.05,-21.92 USD,['18.92 USD']
128,FLAT,68433.15999999999,68354.73999999999,-21.57 USD,['18.87 USD']
129,FLAT,68606.01,69501.06,11.75 USD,['18.95 USD']
130,FLAT,69319.79,71967.66,70.81 USD,['19.22 USD']
131,FLAT,72536.49,71765.92,-44.18 USD,['18.92 USD']
132,FLAT,71603.70999999999,72849.1,22.05 USD,['19.08 USD']
133,FLAT,73349.24,72941.81,-32.09 USD,['18.92 USD']
134,FLAT,73228.25,73041.1,-24.91 USD,['18.87 USD']
135,FLAT,71700.01,71380.0,-29.31 USD,['18.80 USD']
136,FLAT,71814.8,71437.13,-31.05 USD,['18.71 USD']
137,FLAT,69259.97,67767.62999999999,-68.83 USD,['18.49 USD']
138,FLAT,67039.96,66673.73000000001,-31.12 USD,['18.47 USD']
139,FLAT,67609.99,68071.57,-2.77 USD,['18.52 USD']
140,FLAT,68471.92,68214.81999999999,-27.07 USD,['18.41 USD']
141,FLAT,68595.62,68279.37999999999,-28.93 USD,['18.34 USD']
142,FLAT,67983.8,67609.99,-30.84 USD,['18.26 USD']
143,FLAT,64860.0,63960.380000000005,-43.43 USD,['15.81 USD']
144,FLAT,63221.11,63161.090000000004,-20.28 USD,['18.13 USD']
145,FLAT,64779.87999999999,66969.06999999999,36.16 USD,['11.47 USD']
146,FLAT,67640.01,67322.52,-28.79 USD,['18.13 USD']
147,FLAT,66259.87999999999,65932.0,-29.26 USD,['18.06 USD']
148,FLAT,63898.68000000001,63647.98,-26.84 USD,['18.00 USD']
149,FLAT,64538.009999999995,64200.0,-29.68 USD,['17.92 USD']
150,FLAT,64850.0,64623.020000000004,-25.70 USD,['17.87 USD']
151,FLAT,65289.78999999999,64872.0,-32.04 USD,['17.78 USD']
152,FLAT,65482.4,65121.98,-29.93 USD,['17.71 USD']
153,FLAT,65060.009999999995,65307.44,-9.31 USD,['17.72 USD']
154,FLAT,66012.13,66829.95,9.58 USD,['17.77 USD']
155,FLAT,67522.62000000001,69810.0,56.91 USD,['17.98 USD']
156,FLAT,70549.59,70356.56999999999,-23.89 USD,['17.80 USD']
157,FLAT,70783.20999999999,70643.99,-22.11 USD,['17.74 USD']
158,FLAT,70420.01,70272.38,-22.34 USD,['17.70 USD']
159,FLAT,70833.22,70268.48,-35.19 USD,['17.59 USD']
160,FLAT,69559.99,69081.01000000001,-32.65 USD,['17.52 USD']
161,FLAT,69900.0,69631.61,-25.86 USD,['17.46 USD']
162,FLAT,70112.11,70634.78,-1.26 USD,['17.50 USD']
163,FLAT,71052.59,70804.71,-24.99 USD,['17.39 USD']
164,FLAT,70525.79,70262.01,-25.45 USD,['17.33 USD']
165,FLAT,69932.9,69811.99,-21.03 USD,['17.29 USD']
166,FLAT,70245.99,70095.91,-21.85 USD,['17.24 USD']
167,FLAT,70183.54999999999,70090.0,-20.06 USD,['17.19 USD']
168,FLAT,70113.39,69964.55,-21.69 USD,['17.14 USD']
169,FLAT,70229.06,70363.92,-13.01 USD,['17.12 USD']
170,FLAT,70969.0,70692.0,-25.37 USD,['17.04 USD']
171,FLAT,71267.43000000001,71078.0,-22.64 USD,['16.99 USD']
172,FLAT,69648.01,69380.0,-25.09 USD,['16.93 USD']
173,FLAT,66165.44,65859.75,-26.62 USD,['16.86 USD']
174,FLAT,66125.06,66116.0,-17.13 USD,['16.84 USD']
175,FLAT,66764.88,66279.43000000001,-32.00 USD,['16.74 USD']
176,FLAT,66249.37999999999,66064.51,-22.53 USD,['16.70 USD']
177,FLAT,66327.99,66082.98999999999,-24.32 USD,['16.63 USD']
178,FLAT,66235.6,66016.0,-23.45 USD,['16.57 USD']
179,FLAT,66446.18,66142.47,-25.96 USD,['16.51 USD']
180,FLAT,66573.56000000001,67714.73999999999,18.70 USD,['16.62 USD']
181,FLAT,68606.0,68133.2,-30.72 USD,['16.48 USD']
182,FLAT,67860.01,67485.57,-27.76 USD,['16.41 USD']
183,FLAT,68028.11,67818.0,-22.70 USD,['16.37 USD']
184,FLAT,68090.0,67896.01,-22.13 USD,['16.31 USD']
185,FLAT,68242.12,67998.09999999999,-23.53 USD,['16.25 USD']
186,FLAT,68413.29,68225.04,-21.78 USD,['16.20 USD']
187,FLAT,68506.01,69248.72,5.66 USD,['16.26 USD']
188,FLAT,69608.66,69540.17,-18.17 USD,['16.18 USD']
189,FLAT,69810.01,71554.0,34.07 USD,['16.34 USD']
190,FLAT,72064.14,71702.0,-26.37 USD,['16.18 USD']
191,FLAT,69440.14,70683.20999999999,19.86 USD,['16.31 USD']
192,FLAT,70550.4,70298.88,-23.41 USD,['16.19 USD']
193,FLAT,70416.0,70639.99,-9.76 USD,['16.18 USD']
194,FLAT,67861.0,67448.62000000001,-28.34 USD,['16.09 USD']
195,FLAT,67772.0,67559.05,-22.35 USD,['16.04 USD']
196,FLAT,67884.0,67568.0,-25.29 USD,['15.97 USD']
197,FLAT,64546.64,64256.99999999999,-24.86 USD,['15.91 USD']
198,FLAT,65521.92,65140.12000000001,-22.29 USD,['12.88 USD']
199,FLAT,65946.24,65999.99,-14.23 USD,['15.84 USD']
200,FLAT,63508.69,63784.39,-7.26 USD,['15.83 USD']
201,FLAT,61780.0,61612.94,-21.10 USD,['15.76 USD']
202,FLAT,61821.75,61759.719999999994,-17.70 USD,['15.73 USD']
203,FLAT,63175.31,62790.62,-26.26 USD,['14.89 USD']
204,FLAT,64000.009999999995,64339.85999999999,-5.22 USD,['15.45 USD']
205,FLAT,64153.84,64630.36000000001,-1.18 USD,['15.68 USD']
206,FLAT,65199.990000000005,65024.0,-20.87 USD,['15.60 USD']
207,FLAT,65222.71,64913.990000000005,-24.73 USD,['15.52 USD']
