client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240320-083000-BACKTEST-000-287,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-287,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-f42725db9d62e83d-89314,MARKET,BUY,0.03585012,GTC,False,False,0.03585012,TAKER,63221.11,0.0,['9.07 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c9adedcf-aa0b-470e-b7d8-13966c36164c,2024-03-20 08:30:00+00:00,2024-03-20 08:30:00+00:00
O-20240320-162000-BACKTEST-000-288,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-288,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-3bc7d502322de6fd-89688,MARKET,SELL,0.03585012,GTC,False,False,0.03585012,TAKER,63161.090000000004,0.0,['9.06 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,03563425-3ad7-43eb-8070-2751c8943f43,2024-03-20 16:20:00+00:00,2024-03-20 16:20:00+00:00
O-20240320-181000-BACKTEST-000-289,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-289,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-ced409e98c085428-89777,MARKET,BUY,0.02175515,GTC,False,False,0.02175515,TAKER,64779.87999999999,0.0,['5.64 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,108b3673-2c27-430a-b85d-3bec2c37ab6a,2024-03-20 18:10:00+00:00,2024-03-20 18:10:00+00:00
O-20240321-034000-BACKTEST-000-290,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-290,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-77ea6b0a598a1017-90227,MARKET,SELL,0.02175515,GTC,False,False,0.02175515,TAKER,66969.06999999999,0.0,['5.83 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a061e2f5-20e7-46b5-93a1-ca9f00a29cda,2024-03-21 03:40:00+00:00,2024-03-21 03:40:00+00:00
O-20240321-081500-BACKTEST-000-291,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-291,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-ee5ee4118bf00989-90442,MARKET,BUY,0.03357843,GTC,False,False,0.03357843,TAKER,67640.01,0.0,['9.09 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,17b22870-308b-42ac-94c2-6cd4ce7e7c01,2024-03-21 08:15:00+00:00,2024-03-21 08:15:00+00:00
O-20240321-082500-BACKTEST-000-292,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-292,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-cdca262b43a7998b-90451,MARKET,SELL,0.03357843,GTC,False,False,0.03357843,TAKER,67322.52,0.0,['9.04 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,830c6a3d-4931-45dc-9f98-91439a0c4b12,2024-03-21 08:25:00+00:00,2024-03-21 08:25:00+00:00
O-20240322-045000-BACKTEST-000-293,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-293,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-96d88a9d26569a94-91423,MARKET,BUY,0.03414745,GTC,False,False,0.03414745,TAKER,66259.87999999999,0.0,['9.05 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bc8f8cc5-8021-4b99-87c2-47d38612d3dc,2024-03-22 04:50:00+00:00,2024-03-22 04:50:00+00:00
O-20240322-084000-BACKTEST-000-294,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-294,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-9e4957d0461b4a78-91606,MARKET,SELL,0.03414745,GTC,False,False,0.03414745,TAKER,65932.0,0.0,['9.01 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,af24736a-a577-40aa-80dc-f6308805fb12,2024-03-22 08:40:00+00:00,2024-03-22 08:40:00+00:00
O-20240323-012000-BACKTEST-000-295,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-295,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-ea8ad7b7322c2aab-92400,MARKET,BUY,0.03527190,GTC,False,False,0.03527190,TAKER,63898.68000000001,0.0,['9.02 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ef33a24e-f908-4565-9351-e85f7740c474,2024-03-23 01:20:00+00:00,2024-03-23 01:20:00+00:00
O-20240323-030000-BACKTEST-000-296,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-296,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-ccf2f200971a09cd-92481,MARKET,SELL,0.03527190,GTC,False,False,0.03527190,TAKER,63647.98,0.0,['8.98 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c65d194c-dbcb-4b46-a2b7-3c0564687448,2024-03-23 03:00:00+00:00,2024-03-23 03:00:00+00:00
O-20240323-070500-BACKTEST-000-297,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-297,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-bd8327a31f39ab01-92676,MARKET,BUY,0.03479772,GTC,False,False,0.03479772,TAKER,64538.009999999995,0.0,['8.98 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c345a53b-3e24-4cbc-bfd6-dd55b09b8390,2024-03-23 07:05:00+00:00,2024-03-23 07:05:00+00:00
O-20240323-091000-BACKTEST-000-298,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-298,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-4acbf5ece7b9a326-92777,MARKET,SELL,0.03479772,GTC,False,False,0.03479772,TAKER,64200.0,0.0,['8.94 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,10385593-9af4-4fa3-b746-897c5bf2edeb,2024-03-23 09:10:00+00:00,2024-03-23 09:10:00+00:00
O-20240323-125000-BACKTEST-000-299,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-299,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-b887d5a86830e005-92953,MARKET,BUY,0.03449296,GTC,False,False,0.03449296,TAKER,64850.0,0.0,['8.95 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f04ce9ca-d8f1-4d45-a7ba-038b473f13e9,2024-03-23 12:50:00+00:00,2024-03-23 12:50:00+00:00
O-20240323-130000-BACKTEST-000-300,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-300,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-6eda63530beddce9-92960,MARKET,SELL,0.03449296,GTC,False,False,0.03449296,TAKER,64623.020000000004,0.0,['8.92 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2d33e624-0f4f-415d-84c1-f4ed695cf6af,2024-03-23 13:00:00+00:00,2024-03-23 13:00:00+00:00
O-20240323-143000-BACKTEST-000-301,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-301,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-b65613c95921d387-93031,MARKET,BUY,0.03414253,GTC,False,False,0.03414253,TAKER,65289.78999999999,0.0,['8.92 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,843cbd04-8ca1-4ee2-95a7-925f4358906c,2024-03-23 14:30:00+00:00,2024-03-23 14:30:00+00:00
O-20240323-151500-BACKTEST-000-302,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-302,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-9b37b62e817770f3-93066,MARKET,SELL,0.03414253,GTC,False,False,0.03414253,TAKER,64872.0,0.0,['8.86 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,07b6bd17-a1ec-4751-b908-6178a0356faf,2024-03-23 15:15:00+00:00,2024-03-23 15:15:00+00:00
O-20240323-163000-BACKTEST-000-303,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-303,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-b4b4fd1507a71ae5-93127,MARKET,BUY,0.03389527,GTC,False,False,0.03389527,TAKER,65482.4,0.0,['8.88 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,572b3092-5e90-4084-b99d-2e5412b35a23,2024-03-23 16:30:00+00:00,2024-03-23 16:30:00+00:00
