address,total_fills,close_fill_count,open_fill_count,nonzero_closedPnl_count,nonzero_closedPnl_ratio,close_like_cluster_score,large_close_ratio,dir_distribution
0xbfc79c444c41a74516bf31237ebf586a231480b4,4069,3886,3,4060,0.9977881543376751,0.9764069796018677,0.8933398869501106,"{'Close Short': 3886, 'Sell': 174, 'Buy': 6, 'Open Short': 3}"
0x010461c14e146ac35fe42271bdc1134ee31c703a,117111,52505,64260,52775,0.4506408450102894,0.4494880924934464,0.3547830690541452,"{'Open Short': 47083, 'Close Short': 37995, 'Open Long': 17177, 'Close Long': 14510, 'Short > Long': 127, 'Long > Short': 116, 'Net Child Vaults': 103}"
0x31ca8395cf837de08b24da3f660e77761dfb974b,124684,66281,58053,66581,0.5339979468095345,0.5327949055211575,0.414728433479837,"{'Close Long': 48611, 'Open Long': 39324, 'Close Short': 17670, 'Open Short': 18729, 'Short > Long': 127, 'Long > Short': 120, 'Net Child Vaults': 103}"
0xb81015ed7e1619905757bfffc226a1891263561e,8768,5109,3362,5402,0.6161040145985401,0.5993955291970803,0.3845802919708029,"{'Close Short': 2428, 'Open Long': 2186, 'Close Long': 2681, 'Short > Long': 147, 'Long > Short': 150, 'Open Short': 1176}"
0x1c1c270b573d55b68b3d14722b5d5d401511bed0,33001,10731,10294,18354,0.5561649646980394,0.44066846459198206,0.03281718735795885,"{'Close Short': 7130, 'Buy': 4329, 'Close Long': 3601, 'Long > Short': 467, 'Sell': 6707, 'Short > Long': 473, 'Open Long': 2861, 'Open Short': 7433}"
0xf9109ada2f73c62e9889b45453065f0d99260a2d,41994,19658,14560,24115,0.5742487021955518,0.5211815973710531,0.2003619564699719,"{'Open Long': 12763, 'Buy': 3313, 'Close Short': 2975, 'Close Long': 16683, 'Open Short': 1797, 'Sell': 4300, 'Short > Long': 87, 'Long > Short': 76}"
0x6a0b567be46b51ad02db4ebdf90d057ecb02f864,2499,1123,1331,1164,0.4657863145258103,0.4575830332132853,0.26850740296118447,"{'Open Long': 1068, 'Close Short': 261, 'Short > Long': 22, 'Close Long': 862, 'Long > Short': 23, 'Open Short': 263}"
0xcb525be5530b95a1f3b2056f380ad3be61a648ea,12344,5859,4880,7422,0.6012637718729748,0.537953661697991,0.023088139987038236,"{'Open Short': 2720, 'Short > Long': 802, 'Open Long': 2160, 'Close Short': 2703, 'Long > Short': 803, 'Close Long': 3156}"
0x6d95abc473b98bb06986ed858c3ae4c5d9d7e05b,5761,3057,2621,3139,0.5448706821732339,0.5377538621767055,0.4658913383093213,"{'Open Short': 2478, 'Close Short': 2878, 'Short > Long': 41, 'Open Long': 143, 'Close Long': 179, 'Long > Short': 42}"
0xc6d7fdfbcb55d6cad6570c5838de394d2aa24015,9793,53,28,5120,0.5228224241805371,0.26411722659042175,0.005412029000306341,"{'Buy': 4645, 'Open Short': 28, 'Sell': 5067, 'Close Short': 53}"
0x9266865bb6afb4c4f618544dd3b8c970f17aa664,31537,7007,7313,16159,0.5123822811301012,0.3672828740844088,0.06110283159463487,"{'Buy': 8059, 'Open Short': 5434, 'Open Long': 1879, 'Close Short': 4880, 'Close Long': 2127, 'Sell': 8946, 'Long > Short': 104, 'Short > Long': 108}"
0x47930c76790c865217472f2ddb4d14c640ee450a,2691,248,1796,289,0.1073950204384987,0.09977703455964326,0.03753251579338536,"{'Close Long': 248, 'Open Long': 1796, 'Sell': 41, 'Buy': 606}"
0xfab134fc24fe340e9e997e89147bdc0d944958f8,37612,20396,15606,21901,0.5822875677975115,0.5622806551100712,0.01651068807827289,"{'Close Short': 9733, 'Open Short': 8501, 'Close Long': 10663, 'Short > Long': 809, 'Open Long': 7105, 'Long > Short': 801}"
0xdbfa2a585b5ed6115950a3eaead82df47918304d,2866,1410,1307,1558,0.5436147941381717,0.5177948360083741,0.32763433356594557,"{'Close Short': 813, 'Open Short': 852, 'Long > Short': 79, 'Close Long': 597, 'Open Long': 455, 'Short > Long': 70}"
0xe056eebc2c7acfc782d47ebe18ad71735480f72a,12753,6142,6295,6448,0.5056065239551478,0.493609346820356,0.09887869520897044,"{'Open Long': 5386, 'Close Long': 5102, 'Close Short': 1040, 'Long > Short': 155, 'Open Short': 909, 'Short > Long': 161}"
0x953996a8b3e3c9b2ecc13664950910d013c060a5,2884,1331,1458,1426,0.4944521497919556,0.47798196948682387,0.27981969486823854,"{'Close Short': 741, 'Open Short': 1014, 'Long > Short': 52, 'Open Long': 444, 'Short > Long': 43, 'Close Long': 590}"
0x59891acadc0f8b2bcab10c043ac5fc63628b1716,1960,871,1040,920,0.46938775510204084,0.4568877551020408,0.288265306122449,"{'Close Short': 454, 'Open Long': 326, 'Open Short': 714, 'Long > Short': 29, 'Close Long': 417, 'Short > Long': 20}"
0x32051a0c36af1449e0eee08146a808115ccc40bb,7075,3704,3357,3717,0.5253710247349823,0.524452296819788,0.26996466431095406,"{'Close Short': 2284, 'Open Short': 2968, 'Short > Long': 8, 'Open Long': 389, 'Close Long': 1420, 'Long > Short': 6}"
0xa289ee1e56c0d5d041db762e6123e78af0f7d9ad,70040,39035,30437,39563,0.5648629354654483,0.561093660765277,0.13679326099371789,"{'Open Long': 19971, 'Close Short': 12651, 'Open Short': 10466, 'Close Long': 26384, 'Long > Short': 278, 'Short > Long': 290}"
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,99555,39683,36443,50113,0.5033699964843554,0.4509868916679223,0.3725679272763799,"{'Buy': 12998, 'Open Long': 15217, 'Close Short': 28283, 'Open Short': 21226, 'Sell': 10404, 'Close Long': 11400, 'Short > Long': 17, 'Long > Short': 10}"
0x80196a7475464e06de641df6c66e6e278cd364d5,5113,1172,773,3216,0.6289849403481322,0.4291022882847643,0.04244083708194798,"{'Buy': 1121, 'Sell': 2026, 'Close Short': 227, 'Open Short': 241, 'Short > Long': 11, 'Long > Short': 10, 'Open Long': 532, 'Close Long': 945}"
0x162cc7c861ebd0c06b3d72319201150482518185,115694,24866,22343,62416,0.5394921084930938,0.3772105727176863,0.043736062371428075,"{'Buy': 30931, 'Open Short': 9534, 'Sell': 37409, 'Close Long': 16734, 'Open Long': 12809, 'Close Short': 8132, 'Short > Long': 73, 'Long > Short': 72}"
0x9d097697e5b82a52f6b82c16c148a753bbf5c8ae,3084,7,3077,7,0.002269779507133593,0.002269779507133593,0.002269779507133593,"{'Open Long': 733, 'Close Long': 7, 'Open Short': 2344}"
0x03b9a189e2480d1e4c3007080b29f362282130fa,56137,29394,25591,30310,0.5399291020182767,0.5317704900511249,0.02851951475853715,"{'Close Short': 13671, 'Open Long': 11984, 'Close Long': 15723, 'Open Short': 13607, 'Long > Short': 575, 'Short > Long': 577}"
0x26cacbc6efd678054c98cd32d9c2969580aef351,1349,680,589,755,0.5596738324684952,0.5318754633061527,0.3291326908821349,"{'Open Short': 504, 'Close Short': 590, 'Long > Short': 39, 'Short > Long': 41, 'Open Long': 85, 'Close Long': 90}"
0x21ff1b48bd358698bfdf853e71cafb761b5d2b7d,6489,3758,2593,3894,0.6000924641701341,0.5896131915549392,0.4449067652951148,"{'Close Short': 3441, 'Open Short': 2241, 'Long > Short': 79, 'Short > Long': 59, 'Open Long': 352, 'Close Long': 317}"
0x9252345e5fb94c8ce2595c51c2c850b35f4572a9,3628,1483,1261,2348,0.6471885336273429,0.5279768467475192,0.07662624035281147,"{'Open Short': 743, 'Short > Long': 444, 'Close Long': 891, 'Open Long': 518, 'Long > Short': 440, 'Close Short': 592}"
0xbf1935fe7ab6d0aa3ee8d3da47c2f80e215b2a1c,36046,17918,18040,18002,0.49941741108583476,0.4982522332575043,0.031015924096987182,"{'Open Long': 17174, 'Close Long': 17044, 'Open Short': 866, 'Close Short': 874, 'Long > Short': 44, 'Short > Long': 44}"
0x744cf47e88d9d0847544f0ac2fa7575cf5925f79,3951,1729,1354,2578,0.6524930397367755,0.5450518855985826,0.08782586686914705,"{'Close Short': 688, 'Short > Long': 436, 'Open Short': 736, 'Long > Short': 432, 'Close Long': 1041, 'Open Long': 618}"
0xf0480a7892bc260658e82359f3c9374bc0a75444,74875,39564,35311,39564,0.5284006677796327,0.5284006677796327,0.502584307178631,"{'Close Short': 39564, 'Open Short': 35311}"
0xc6ac58a7a63339898aeda32499a8238a46d88e84,27538,15689,11815,15704,0.570266540780013,0.5699941898467572,0.018301982714794104,"{'Close Long': 11414, 'Open Long': 7705, 'Long > Short': 17, 'Open Short': 4110, 'Close Short': 4275, 'Short > Long': 17}"
0xd02928c445d780ea954fe0b6f0be0f6cb9727678,101963,57211,44022,57896,0.567813814815178,0.5644547531947863,0.18841148259662818,"{'Open Long': 25032, 'Close Short': 22500, 'Close Long': 34711, 'Open Short': 18990, 'Short > Long': 366, 'Long > Short': 364}"
0x75faaf11458b7fef61a445fb82ef213817c9774f,4456,0,0,2779,0.623653500897666,0.311826750448833,0.0,"{'Sell': 2779, 'Buy': 1677}"
0xae89ff81bb4e03937eb046291f0450a6bab37d35,2195,824,1017,1168,0.532118451025057,0.45375854214123007,0.007289293849658315,"{'Close Short': 362, 'Short > Long': 182, 'Open Long': 559, 'Close Long': 462, 'Long > Short': 172, 'Open Short': 458}"
0x90a5ecd614f3d1388e8ff6833d5dcb18055ab35a,5187,2228,2931,2256,0.4349334875650665,0.43223443223443225,0.25448235974551764,"{'Close Long': 1667, 'Open Short': 741, 'Open Long': 2190, 'Long > Short': 13, 'Close Short': 561, 'Short > Long': 15}"
0x97683533fc52065024c3fdc336f0c72e3c592589,9513,0,0,1775,0.1865867759907495,0.09329338799537475,0.0,"{'Sell': 1775, 'Buy': 7738}"
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,31109,18014,13061,18045,0.5800572181683757,0.5795589700729693,0.5259249734803433,"{'Open Short': 8300, 'Close Short': 12821, 'Open Long': 4761, 'Close Long': 5193, 'Short > Long': 18, 'Long > Short': 16}"
0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,22003,13769,6487,14699,0.6680452665545608,0.6469117847566241,0.4072626460028178,"{'Close Long': 11423, 'Open Long': 4796, 'Open Short': 1691, 'Close Short': 2346, 'Sell': 820, 'Buy': 817, 'Long > Short': 48, 'Short > Long': 62}"
